Company name,Status,Industry,Notes
23andMe,Cancelled,Medical Techonlolgy,
A&E Network,Cancelled,#N/A,Cancelled their summer 2020 internship program. But extended the offer to summer 2021.
ABB,Cancelled,Healthcare Products,
ABC,Cancelled,Computer Services,All internships now cancelled
Accion Systems,Cancelled,#N/A,Cancelled their whole internship program
Ad Council,Cancelled,Marketing,
ADTRAN,Cancelled,Telecom. Equipment,Summer 2020 co-op term canceled. Fall 2020 may also be canceled if full remote does not end by August 2020.
AF Group,Cancelled,Retail (Online),
AGS Automotive,Cancelled,#N/A,
Airbnb,Cancelled,#N/A,Cancelled this summer's internship program with an option to intern next summer.
AKQA,Cancelled,Marketing,
Alaska Airlines,Cancelled,Air Transport,
Alexander Group,Cancelled,Consulting,
AlphaSights,Cancelled,#N/A,Cancelled. Interns offered full-time jobs.
American Airlines,Cancelled,Air Transport,Decisions are on a department by department basis. Some positions weren't cancelled.
Amtrak,Cancelled,Rail Transport,
Anaplan,Cancelled,Software (System & Application),MBA internship rescinded. Need confirmation on this.
Apache Corporation,Cancelled,Oil/Gas (Production and Exploration),
APCO Worldwide,Cancelled,Public Relations,
Applied Materials,Cancelled,Semiconductor Equip,
Applied Medical,Cancelled,Medical Techonlolgy,
ArcelorMittal,Cancelled,#N/A,
Argonne National Laboratory,Cancelled,#N/A,
Arista,Cancelled,Financial Svcs. (Non-bank & Insurance),
Arthrex,Cancelled,Medical Techonlolgy,
atVenu,Cancelled,#N/A,
AXS,Cancelled,Drugs (Pharmaceutical),
Baker Hughes,Cancelled,Oilfield Svcs/Equip.,
Bartle Bogle Hegarty,Cancelled,#N/A,
BECU,Cancelled,#N/A,
Belvedere trading,Cancelled,#N/A,Cancelled their internship program for junior traders. The other roles are not cancelled yet. Full time new hires start date pushed back as well.
Bently Systems,Cancelled,#N/A,
Best Buy,Cancelled,Retail (Special Lines),
Big Spaceship,Cancelled,Marketing,
Blackbaud,Cancelled,Software (System & Application),Open full time offers are also cancelled
BluJay Solutions,Cancelled,#N/A,
Boar's Head Brand,Cancelled,#N/A,
Booz Allen Hamilton,Cancelled,Computer Services,
Boston Scientific,Cancelled,Healthcare Products,Cancelled all internships and co-ops for all of 2020.
Bright Health,Cancelled,#N/A,
British Airways,Cancelled,#N/A,Postponed to 2021
Brookings Institution,Cancelled,#N/A,
BuzzFeed,Cancelled,#N/A,
Callaway Golf,Cancelled,Recreation,
Calvin Klein,Cancelled,#N/A,
Cantor Fitzgerald,Cancelled,#N/A,
Cannon,Cancelled,#N/A,
Capitol Music Group,Cancelled,#N/A,
Captify,Cancelled,#N/A,
Carfax,Cancelled,#N/A,
CB Insights,Cancelled,#N/A,
CBIZ,Cancelled,Business & Consumer Services,
CF Industries,Cancelled,Chemical (Specialty),
Chesapeake Energy,Cancelled,Oil/Gas (Production and Exploration),
Checkr,Cancelled,#N/A,
CH Robinson,Cancelled,#N/A,
Civis Analytics,Cancelled,#N/A,
Comcast,Cancelled,Cable TV,
ConocoPhillips,Cancelled,Oil/Gas (Production and Exploration),5 week pay offered and priority for 2021 internship
Continental,Cancelled,Building Materials,
Crayola,Cancelled,#N/A,
Cruise Automation,Cancelled,#N/A,Rescinded all internship offers.
Custom Ink,Cancelled,#N/A,Rescinded all internships and full time offers!
DAAD-WISE,Cancelled,#N/A,
Dassault Systems,Cancelled,#N/A,Rescinding offers in Waltham MA.
DataScan,Cancelled,#N/A,Need further verification if all roles cancelled
Datto,Cancelled,#N/A,"Cybersecurity internships cancelled. No option to defer to next year. SWE internship offers not rescinded, will be online."
Defense Counterintelligence and Security Agency,Cancelled,#N/A,
Delta Airline,Cancelled,#N/A,Rescinding offers.
Designer Brands,Cancelled,Retail (Special Lines),
Diff,Cancelled,Restaurant/Dining,
DigitalOcean,Cancelled,#N/A,Cancelled summer internship program
Dillards,Cancelled,#N/A,
Discovery Inc.,Cancelled,#N/A,
Disney,Cancelled,Entertainment,"Cancelled some Engineering/IT roles. Not just diversity program. Also, some teams (Industrial and Software Engineering) haven't cancelled, but gone remote."
DNAnexus,Cancelled,#N/A,
Draper Laboratory,Cancelled,#N/A,Internship program cancelled. Offers rescinded.
DriveTime,Cancelled,#N/A,"Scaling back summer internship program, certain departments cancelled (i.e. marketing/sales)."
Echostar,Cancelled,Telecom. Equipment,
EF Education First,Cancelled,#N/A,Multiple offers rescinded. Need to verify if all internship roles are cancelled
EVERFI,Cancelled,#N/A,
Excellus Blue Cross Blue Shield,Cancelled,#N/A,
ExtraHop,Cancelled,#N/A,
Flipp,Cancelled,#N/A,Offers Rescinded
Forbes,Cancelled,Oilfield Svcs/Equip.,
Funding Circle,Cancelled,#N/A,
FX,Cancelled,Healthcare Products,
Gallagher,Cancelled,Insurance (General),
Gap Inc.,Cancelled,#N/A,No compensation offered.
Garmin,Cancelled,#N/A,
Gartner,Cancelled,Computer Services,Even full time offers are getting rescinded
Genuine Parts Company,Cancelled,Retail (Distributors),
GE Transportation-Wabtec,Cancelled,#N/A,
Gildan,Cancelled,#N/A,
Globe Life,Cancelled,Insurance (Life),
GoCanvas,Cancelled,#N/A,
Golden 1 Credit Union,Cancelled,#N/A,
Green Dot,Cancelled,Financial Svcs. (Non-bank & Insurance),
Group Nine Media,Cancelled,#N/A,
Groupon,Cancelled,Retail (Online),
Guideline,Cancelled,#N/A,
Halff Associates,Cancelled,#N/A,
Halliburton,Cancelled,Oilfield Svcs/Equip.,Interns offered half of the pay for the summer as stipend.
HARMAN International,Cancelled,#N/A,Cancelled LEAP programs for new grads too.
Hawaiian Airlines,Cancelled,#N/A,Internships and full time hirings cancelled.
HCA Healthcare,Cancelled,Hospitals/Healthcare Facilities,
Helen of Troy,Cancelled,#N/A,
Hendrickson,Cancelled,#N/A,
Hess Corporation,Cancelled,Oil/Gas (Production and Exploration),
Hill Holliday,Cancelled,#N/A,
Hughes,Cancelled,Oilfield Svcs/Equip.,
Huhtamaki,Cancelled,#N/A,
Husky Energy,Cancelled,#N/A,
iCIMS,Cancelled,#N/A,
IDEMIA,Cancelled,#N/A,
IDEO,Cancelled,Retail (Online),Ideo.org too
IGN,Cancelled,Healthcare Products,
iHeartMedia,Cancelled,Broadcasting,
IHS Markit,Cancelled,#N/A,Needs further confirmation.
Indeed,Cancelled,#N/A,Summer internships cancelled.
InterSystems,Cancelled,#N/A,
Interbrand,Cancelled,#N/A,
IPG MediaBrands,Cancelled,#N/A,
JetBlue,Cancelled,Air Transport,Deferred to Summer 2021.
John Deere,Cancelled,#N/A,
Jordan Blanchard Capital,Cancelled,#N/A,
Kabbage,Cancelled,#N/A,
Kaiser Permanente,Cancelled,#N/A,
Kayak,Cancelled,#N/A,
Kearney,Cancelled,#N/A,MBA. London - Cancelled. Chicago - Virtual.
Keen,Cancelled,#N/A,
Kepler Group,Cancelled,#N/A,Cancelled summer 2020 internship program
Klick Health,Cancelled,#N/A,
Kin and Carta,Cancelled,#N/A,
Kitty Hawk,Cancelled,#N/A,
Kohler Engines,Cancelled,#N/A,
Lands' End,Cancelled,Retail (Online),
L Brands,Cancelled,Apparel,
LEK consulting,Cancelled,#N/A,Cancelled their internship program but offered interns full time 2021 offers.
LendingClub,Cancelled,Financial Svcs. (Non-bank & Insurance),
Leo Burnett,Cancelled,#N/A,
Lifeway Christian Resources,Cancelled,#N/A,
Lime,Cancelled,Drugs (Pharmaceutical),
LLamasoft,Cancelled,#N/A,
L.L. Bean,Cancelled,#N/A,
L'Oréal,Cancelled,#N/A,Guaranteed internship for summer 2021. Guaranteed first round interview for full-time.
Lowe's,Cancelled,Retail (Building Supply),
M&T Bank,Cancelled,Banks (Regional),
Magnopus,Cancelled,#N/A,
Manhattan Associates,Cancelled,Software (System & Application),
Mattel,Cancelled,Recreation,
Marriot,Cancelled,Hotel/Gaming,
Marsh and Mclennan Agency,Cancelled,#N/A,Cancelled internships globally and graduate jobs are deferred until Jan 2021.
Mayo Clinic,Cancelled,#N/A,At least IT
M Booth,Cancelled,#N/A,
McCann,Cancelled,#N/A,McCann Wolrldgroup and McCann NY cancelled their internships.
Medicus Healthcare Solutions,Cancelled,#N/A,
Medline Industries,Cancelled,#N/A,Cancelled its internship program. Interns will get interview preference for full-time jobs after graduation.
Mercedez Benz,Cancelled,#N/A,
Mercer,Cancelled,#N/A,
Micron,Cancelled,Heathcare Information and Technology,
MIT Lincoln Laboratory,Cancelled,#N/A,Cancelled summer research program for interns
Mrytle Beach Pelicans,Cancelled,#N/A,
MullenLowe,Cancelled,#N/A,
National Geographic,Cancelled,#N/A,
National Institutes of Health,Cancelled,#N/A,
National Security Agency,Cancelled,#N/A,Cancelled all summer 2020 intternships
Nationwide,Cancelled,#N/A,
Naval Research Enterprise Internship Program,Cancelled,#N/A,"Cancelled all summer 2020 internships, but will still process SECRET clearances"
NBC Olympic,Cancelled,#N/A,
Newell Brands,Cancelled,Household Products,
New York Air Brake,Cancelled,#N/A,
Nielsen,Cancelled,Business & Consumer Services,
Nissan,Cancelled,#N/A,
No Kid Hungry,Cancelled,#N/A,Suspended the Summer 2020 session of the John M. Green Internship Program
Norfolk Southern,Cancelled,Transportation (Railroads),
Nordstrom,Cancelled,Retail (General),Cancelled all technology internships.
Northwest Permanente,Cancelled,#N/A,
NPR,Cancelled,Machinery,
Occidental Petroleum,Cancelled,Oil/Gas (Integrated),
Oliver Wyman,Cancelled,#N/A,Replaced with full-time offers. Few students didn't receive full-time offers.
OneWeb,Cancelled,#N/A,Went bankrupt
OpenTable,Cancelled,#N/A,
Outlier,Cancelled,#N/A,
Owens Corning,Cancelled,Building Materials,
Paccar,Cancelled,Construction Supplies,
Pariveda Solutions,Cancelled,#N/A,
Paycom,Cancelled,Software (System & Application),Hiring freeze until at least July
PBS,Cancelled,Business & Consumer Services,
Pearson VUE,Cancelled,#N/A,
Phoenix Children's Hospital,Cancelled,#N/A,
Ping Identity,Cancelled,Software (System & Application),
Pixar Animation Studios,Cancelled,#N/A,
PluralSight,Cancelled,Software (System & Application),
Pratt & Whitney,Cancelled,#N/A,
Primer,Cancelled,Insurance (Life),
PROCEPT BioRobotics,Cancelled,#N/A,
PSB,Cancelled,Banks (Regional),Need confirmation
Quantcast,Cancelled,#N/A,Summer internships cancelled.
QuantumScope,Cancelled,#N/A,Cancelled
Quora,Cancelled,#N/A,Cancelled.
Ramboll,Cancelled,#N/A,
Randa Accessories,Cancelled,#N/A,
Redfin,Cancelled,Real Estate (Operations & Services),
Regeneron Pharmaceuticals,Cancelled,Drugs (Biotechnology),Wet lab positions being cancelled. Dry lab likely to be remote.
